"Dim","true_rank","Mao.alpha","Mao.lambda.1","Mao.lambda.2","Mao.error.test","Mao.error.all","Mao.error.B","Mao.error.beta","Mao.rank","Mao.time","simputeCov.time","simputeCov.lambda.1","simputeCov.error.test","simputeCov.error.all","simputeCov.error.beta","simputeCov.error.B","simputeCov.rank","simpute.time","simpute.lambda.1","simpute.error.test","simpute.error.all","simpute.error.beta","simpute.error.B","simpute.rank","simputeL2.alpha","simputeL2.lambda.1","simputeL2.lambda.2","simputeL2.error.test","simputeL2.error.all","simputeL2.error.B","simputeL2.error.beta","simputeL2.rank","simputeL2.time","simputeKF.alpha","simputeKF.lambda.1","simputeKF.lambda.2","simputeKF.error.test","simputeKF.error.all","simputeKF.error.B","simputeKF.error.beta","simputeKF.rank","simputeKF.time","simpute.lambda.2","simputeCov.lambda.2"
"400x400",20,1,0.526315789473684,0.473684210526316,0.83213149200332,0.851299508000012,4.60962609479376,1.51553042419315,21,10,6,0,0.325136968980057,0.309824806530547,0.985491884947685,1.11664233834368,31,6,NA,0.305512862429486,0.302111822534918,NA,NA,400,NA,16.8421052631579,4.66980971033778,0.208152032294102,0.201691439817213,1.12867982917833,0.479097572889476,34,10,NA,4.21052631578947,0,1.63185996956188,1.49189477600211,10.6872096664479,0.988949721050373,25,71,10.8152681465052,5.83726213792222
"600x600",20,1,0.421052631578947,0.426315789473684,0.557538522937413,0.564929180908235,3.53751807028431,1.14616708945903,17,18,11,0,0.14387875842002,0.139236392937146,0.447958586129202,0.865877228559323,26,13,NA,0.216840471265669,0.21873860863989,NA,NA,600,NA,20,8.29322646719497,0.118796514481317,0.115533347788504,0.915597879621397,0.311856285298448,27,16,NA,6.31578947368421,0,0.783389505240959,0.72340105138268,6.17193315208914,0.516159945751283,24,153,7.80925262066972,8.29322646719497
"800x800",20,1,0.210526315789474,0.378947368421053,0.421712561968883,0.417053130325617,2.43857987567578,0.779620422150011,14,29,22,0,0.0977763018955341,0.0952937304429785,0.290452130791437,0.488179320053489,21,21,NA,0.174311391317338,0.179342395735203,NA,NA,800,NA,20,11.2412475470185,0.0852998326189383,0.0833945973064426,0.511424888984205,0.226116837926838,21,28,NA,3.15789473684211,11.1885486261682,0.0661139442888267,0.064658074956529,0.421486050281502,0.171367614990466,15,138,10.5630035855732,11.2412475470185
"1000x1000",20,1,0.210526315789474,0.331578947368421,0.340076097440337,0.337815507990971,1.9607469891102,0.653454075599696,15,74,35,0,0.0766203056698923,0.0751653702490626,0.198840777449596,0.495946820028757,23,29,NA,0.167236269604096,0.173242148681449,NA,NA,1000,NA,16.8421052631579,10.8641788674933,0.0754775863461732,0.0740223306519431,0.539673644109717,0.174469881305259,23,45,NA,2.10526315789474,13.5173814705824,0.0551716472712432,0.0542534764602173,0.432417181776123,0.131413277148565,13,143,12.8085365123144,10.8641788674933
