"Dim","true_rank","Mao.alpha","Mao.lambda.1","Mao.lambda.2","Mao.error.test","Mao.error.all","Mao.error.B","Mao.error.beta","Mao.rank","Mao.time","simputeCov.time","simputeCov.lambda.1","simputeCov.error.test","simputeCov.error.all","simputeCov.error.beta","simputeCov.error.B","simputeCov.rank","simpute.time","simpute.lambda.1","simpute.error.test","simpute.error.all","simpute.error.beta","simpute.error.B","simpute.rank","simputeL2.alpha","simputeL2.lambda.1","simputeL2.lambda.2","simputeL2.error.test","simputeL2.error.all","simputeL2.error.B","simputeL2.error.beta","simputeL2.rank","simputeL2.time","simputeKF.alpha","simputeKF.lambda.1","simputeKF.lambda.2","simputeKF.error.test","simputeKF.error.all","simputeKF.error.B","simputeKF.error.beta","simputeKF.rank","simputeKF.time","simpute.lambda.2","simputeCov.lambda.2"
"400x400",15,1,0.421052631578947,0.378947368421053,0.791714540253307,1.48854170813965,2.02952344708082,0.40990660429314,38,8,4,0,0.609139575822425,0.570519913946834,0.362687683169816,0.677790405771584,15,8,NA,0.751044781894207,0.781106362305928,NA,NA,400,NA,18.9473684210526,28.0177233478534,0.534995732846118,0.502068562105795,0.628168118379942,0.25312867776039,15,6,NA,13.6842105263158,27.4091215424904,0.447689128125854,0.417451701529168,0.526643054634238,0.201009735797286,14,111,41.1643970835776,28.0177233478534
"600x600",15,1,0.315789473684211,0.521052631578947,0.603506620084143,0.678802062657789,0.873957840910641,0.257323673736319,64,15,5,0,0.353825495387053,0.334489758224937,0.208799595367506,0.393231327510211,15,18,NA,0.552253742891703,0.622797542899231,NA,NA,600,NA,20,38.7326810890761,0.336646730787321,0.318573930857646,0.386811277787367,0.171702658911004,15,8,NA,16.8421052631579,36.4151908030122,0.277929121992276,0.261975390547272,0.32047122806098,0.136059197652529,16,171,47.9667107738107,38.7326810890761
"800x800",15,1,0.210526315789474,0.473684210526316,0.590626278974487,0.715595806112286,0.946670107143799,0.230712881521081,65,25,7,0,0.318539412609681,0.296735031146593,0.142511566964505,0.370335060343316,15,31,NA,0.463764890069636,0.550540583463515,NA,NA,800,NA,20,53.3392059202361,0.307763902920066,0.286734951557256,0.364968478272241,0.122439263923535,15,14,NA,16.8421052631579,51.2446779274528,0.245778145355211,0.228133668446697,0.289540285585499,0.0992650769352322,16,221,51.1991643474414,53.3392059202361
"1000x1000",15,1,0.210526315789474,0.521052631578947,0.527930048857436,0.603207088763487,0.796087476488291,0.1980892532009,73,36,10,0,0.265992141708552,0.253045394071647,0.129480684199396,0.312060109720934,15,45,NA,0.410267622923114,0.49238608882786,NA,NA,1000,NA,20,53.1964133911817,0.257902710846702,0.245438351663957,0.30798856206732,0.114124649474239,15,19,NA,20,51.5400121903721,0.204308916524868,0.194133976142239,0.243867918424308,0.0896689046977098,16,337,52.2773092578619,53.1964133911817
