"Dim","true_rank","Mao.alpha","Mao.lambda.1","Mao.lambda.2","Mao.error.test","Mao.error.all","Mao.error.B","Mao.error.beta","Mao.rank","Mao.time","simputeCov.time","simputeCov.lambda.1","simputeCov.error.test","simputeCov.error.all","simputeCov.error.beta","simputeCov.error.B","simputeCov.rank","simpute.time","simpute.lambda.1","simpute.error.test","simpute.error.all","simpute.error.beta","simpute.error.B","simpute.rank","simputeL2.alpha","simputeL2.lambda.1","simputeL2.lambda.2","simputeL2.error.test","simputeL2.error.all","simputeL2.error.B","simputeL2.error.beta","simputeL2.rank","simputeL2.time","simputeKF.alpha","simputeKF.lambda.1","simputeKF.lambda.2","simputeKF.error.test","simputeKF.error.all","simputeKF.error.B","simputeKF.error.beta","simputeKF.rank","simputeKF.time","simpute.lambda.2","simputeCov.lambda.2"
"400x400",20,1,0.315789473684211,0.473684210526316,0.79802229322097,0.863131197384032,5.17501618922327,1.41602630780453,21,10,6,0,0.277480044430694,0.265498257479892,163521.236216077,1.11441228030221,34,6,NA,0.267619862907779,0.265572813776928,NA,NA,400,NA,17.8947368421053,4.74354120953878,0.183783023432972,0.17808036057194,1.09562233068751,0.511409843131338,35,10,NA,4.21052631578947,0,1.51998466896167,1.38808041411663,10.4143809130258,0.991414630118606,25,70,5.58525673200805,4.74354120953878
"600x600",20,1,0.210526315789474,0.426315789473684,0.512904245966861,0.50883779746941,3.36941621514319,1.11664496535755,19,17,11,0,0.131256231494467,0.127175978075153,90763.7089187482,0.81728751754084,27,13,NA,0.180402749696245,0.183993362593156,NA,NA,600,NA,18.9473684210526,8.37987822723534,0.0994541346042812,0.0970710918298082,0.841216732977043,0.348675767066672,27,16,NA,3.15789473684211,10.3517728080753,0.0718338271023927,0.070160213736953,0.675883361551339,0.284879157614685,14,80,8.09382826667812,8.37987822723534
"800x800",20,1,0.105263157894737,0.378947368421053,0.388074132805051,0.389598046064018,2.59838172156396,0.855324672928138,20,28,22,0,0.0871692978072622,0.0849359312778974,57602.5051911553,0.493852533355844,22,20,NA,0.143883380915373,0.149144111043605,NA,NA,800,NA,20,11.2246283356998,0.0712132221751057,0.069663158469094,0.513211144472993,0.296602123029153,22,29,NA,3.15789473684211,11.1650355750328,0.0564711605493714,0.0552789265233479,0.430220553629256,0.253988795256724,15,131,10.826279478091,11.2246283356998
"1000x1000",20,1,0.105263157894737,0.331578947368421,0.295206840613415,0.293037064831382,2.00522955903874,0.706422324856154,20,71,38,0,0.0658917465486977,0.0646625178549915,37669.6967813815,0.499687351895798,23,30,NA,0.126277050810299,0.132816348912803,NA,NA,1000,NA,16.8421052631579,10.924269100299,0.0611511148868975,0.0600787112328457,0.541301525168048,0.24655793796969,23,48,NA,3.15789473684211,13.5309780697431,0.0452461375855708,0.0445222493642444,0.437046196014344,0.211805003900925,14,164,13.3022501818734,10.924269100299
