"Dim","true_rank","Mao.alpha","Mao.lambda.1","Mao.lambda.2","Mao.error.test","Mao.error.all","Mao.error.B","Mao.error.beta","Mao.rank","Mao.time","simputeCov.time","simputeCov.lambda.1","simputeCov.error.test","simputeCov.error.all","simputeCov.error.beta","simputeCov.error.B","simputeCov.rank","simpute.time","simpute.lambda.1","simpute.error.test","simpute.error.all","simpute.error.beta","simpute.error.B","simpute.rank","simputeL2.alpha","simputeL2.lambda.1","simputeL2.lambda.2","simputeL2.error.test","simputeL2.error.all","simputeL2.error.B","simputeL2.error.beta","simputeL2.rank","simputeL2.time","simputeKF.alpha","simputeKF.lambda.1","simputeKF.lambda.2","simputeKF.error.test","simputeKF.error.all","simputeKF.error.B","simputeKF.error.beta","simputeKF.rank","simputeKF.time","simpute.lambda.2","simputeCov.lambda.2"
"400x400",20,1,0.210526315789474,0.331578947368421,0.400462982967642,0.389769395992801,2.19972548621591,0.734973941177055,14,10,5,0,0.098259433263912,0.0940716318984892,0.251050406471691,0.626753617317797,21,6,NA,0.177380965164545,0.190553887669397,NA,NA,400,NA,13.6842105263158,11.2291596183967,0.0897019262455401,0.0861601580779988,0.647825333021543,0.205336709522094,21,6,NA,7.36842105263158,11.1814176132743,0.0702598758403095,0.0672957446613983,0.568922111254327,0.159031352820016,14,36,10.3616285402981,11.2291596183967
"600x600",20,1,0.105263157894737,0.284210526315789,0.254426834420738,0.248626976420178,1.74945801720971,0.516466723613622,15,17,9,0,0.0607326019381567,0.0588481918219514,0.160546635738167,0.626676877965442,21,11,NA,0.128986008205878,0.146301907442217,NA,NA,600,NA,14.7368421052632,12.9408267970091,0.059244425693321,0.0573701554665026,0.661244765649732,0.14316181885174,21,11,NA,6.31578947368421,12.1088727939594,0.0479813935141239,0.0464794780411029,0.605229687067094,0.110959220480197,15,71,15.2848435568804,12.9408267970091
"800x800",20,1,0.105263157894737,0.236842105263158,0.190238689622803,0.185527696003657,1.15244070009371,0.356791162942434,17,27,17,0,0.0478459104522439,0.046691935815765,0.116161563971173,0.356878986409497,19,18,NA,0.0978110542478242,0.120134114246465,NA,NA,800,NA,13.6842105263158,17.8145798735455,0.0453256921750558,0.0442186528205278,0.366388096292302,0.104419413294841,19,21,NA,4.21052631578947,16.612742648799,0.0375847385967957,0.0366921292481201,0.327579380619961,0.083445050965726,13,104,0,17.8145798735455
"1000x1000",20,1,0.105263157894737,0.236842105263158,0.170819396115681,0.168126277926152,1.13435084895331,0.289687782551496,11,66,28,0,0.0407860452008511,0.039976959135446,0.0841399062503772,0.390858104205851,19,26,NA,0.071520543317327,0.0990585005706187,NA,NA,1000,NA,12.6315789473684,16.2396852515432,0.0407640282911272,0.0399189946415038,0.405469566186812,0.0797514829916376,19,35,NA,3.15789473684211,20.2583559294317,0.0331964920468964,0.0326198570257537,0.365067204749081,0.0632889716466481,13,143,0,16.2396852515432
