"Dim","true_rank","Mao.alpha","Mao.lambda.1","Mao.lambda.2","Mao.error.test","Mao.error.all","Mao.error.B","Mao.error.beta","Mao.rank","Mao.time","simputeCov.time","simputeCov.lambda.1","simputeCov.error.test","simputeCov.error.all","simputeCov.error.beta","simputeCov.error.B","simputeCov.rank","simpute.time","simpute.lambda.1","simpute.error.test","simpute.error.all","simpute.error.beta","simpute.error.B","simpute.rank","simputeL2.alpha","simputeL2.lambda.1","simputeL2.lambda.2","simputeL2.error.test","simputeL2.error.all","simputeL2.error.B","simputeL2.error.beta","simputeL2.rank","simputeL2.time","simpute.lambda.2","simputeCov.lambda.2"
"400x400",20,1,0.105263157894737,0.331578947368421,0.364658695970054,0.358557944911176,2.20273667658675,0.725682053054865,13,10,6,0,0.093628337929052,0.0894360404845277,57491.069312874,0.622212152900606,19,5,NA,0.14589197528784,0.16199802577196,NA,NA,400,NA,12.6315789473684,11.3613002587693,0.0805322234461081,0.0773968574757259,0.631186262051207,0.286646849832245,21,7,10.7368265355783,11.3613002587693
"600x600",20,1,0.105263157894737,0.284210526315789,0.242162502878092,0.237255496132755,1.77629136199069,0.562412933140472,18,17,13,0,0.0579231698628135,0.0560275215013134,30924.2069579446,0.596036828944463,20,11,NA,0.110989300208767,0.129110375647124,NA,NA,600,NA,12.6315789473684,13.0316162015967,0.0527136082302232,0.0511600756018864,0.620578220281644,0.219317026346551,20,16,15.7314107428804,13.0316162015967
"800x800",20,1,0.105263157894737,0.236842105263158,0.179817058788607,0.17404829191081,1.19303616556176,0.472142278087479,21,27,22,0,0.0428319917867511,0.0417698674947187,22874.1274407818,0.365409904025186,18,18,NA,0.0839045019451276,0.104193578260488,NA,NA,800,NA,13.6842105263158,17.7228590409445,0.0386530032959003,0.0377344640714317,0.375261904169244,0.19431582348039,18,28,0,17.7228590409445
"1000x1000",20,1,0.105263157894737,0.236842105263158,0.155957746220048,0.152776052335377,1.15388622805999,0.41092462690756,13,68,33,0,0.0354442644825228,0.0346680502228922,18642.7035629766,0.392628548719893,19,25,NA,0.0608997369673556,0.0843082649442367,NA,NA,1000,NA,12.6315789473684,16.2256366142062,0.0335748869155671,0.032860484106681,0.408085400970806,0.16738252539501,19,40,0,16.2256366142062
